Week,Posts,PostsInWeek
2,"  WhereIsRey  . "" Target : Where 'Exclusive' Means 'Excluding  girl ”' http://www.heroic girl .com/ Target whereexclusivemeansexcluding girl / … via Heroic girl """,314
2,"This is so disappointing,  Target  and  Hasbro .   WhereIsRey  ",314
2,Of *course* toy manufacturers would remove Rey from their  StarWars  range. Of *course* they bloody would.   WhereIsRey  Of *course* toy manufacturers would remove Rey from their  StarWars  range. Of *course* they bloody would.   WhereIsRey  ,314
2,  WhereIsRey   Over there.  WhereIsRey   Over there.,314
2,"Maybe  Target  got rid of the gendered toy aisles only bc they decided, ""We'll only market to boys now."" IDEK.  WhereIsRey ",314
2,"SERIOUSLY?   WhereIsRey   wheresLeia wheresPhasma (wheresGamora)To reiterate,  Hasbro  and  Target  are releasing this set with no female characters. No Leia, Rey, Phasma: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
2,Oy.   WhereIsRey  ,314
2,Wow...  Hasbro News &  Target  really blew it. Great writeup on the problem from JennaBusch  http://2o2p.com/1SmlPTB    StarWars    WhereIsRey  ,314
2,"We're seeing lot of Rey and Phasma toys, but  Target  and  Hasbro  felt like going retro for this set. http://bit.ly/1HD40zt    WhereIsRey  We're seeing lot of Rey and Phasma toys, but  Target  and  Hasbro  felt like going retro for this set. http://bit.ly/1HD40zt    WhereIsRey  ",314
2,ChuckWendig Thanks for drawing this to my attention.   WhereIsRey  View conversation ,314
2,"  WhereIsRey   She's available in several other scales with the 12"" being released shortly.  WhereIsRey   She's available in several other scales with the 12"" being released shortly.",314
2,  WhereIsRey   She's being released next month with BB8.  WhereIsRey   She's being released next month with BB8.,314
2,Looks like you can still lead a horse to an entire market of untapped potential but you can't make him drink   WhereIsRey  Looks like you can still lead a horse to an entire market of untapped potential but you can't make him drink   WhereIsRey  ,314
2,  WhereIsRey   and where's Captain Phasma (the best new design so far)? Come ON! http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …  WhereIsRey   and where's Captain Phasma (the best new design so far)? Come ON! http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …,314
2,"I get it. You can't have a Rey action figure. Some boys might let her fly an XWing. Next thing you know, she's wanting to vote.   WhereIsRey  I get it. You can't have a Rey action figure. Some boys might let her fly an XWing. Next thing you know, she's wanting to vote.   WhereIsRey  ",314
2,I had this as a child. It did not turn me gay. I also had Chewbacca. It did not turn me into a Wookie.   WhereIsRey  I had this as a child. It did not turn me gay. I also had Chewbacca. It did not turn me into a Wookie.   WhereIsRey  ,314
